City Name,Country,Date (Unix Time),Longitude,Latitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Beidao,CN,1578327017,105.89,34.57,28.74,74,100,1.52
Torbay,CA,1578327017,-52.73,47.66,30.2,86,90,24.16
College,US,1578327017,-147.8,64.86,-17.0,58,90,1.97
Cabo San Lucas,MX,1578326901,-109.91,22.89,71.01,59,40,5.82
Sorong,ID,1578327018,131.25,-0.86,75.13,95,100,2.51
Luoyang,CN,1578327018,112.42,34.66,34.72,98,100,2.51
Kathmandu,NP,1578326767,85.32,27.71,46.4,87,20,3.36
Tasiilaq,GL,1578327018,-37.64,65.61,17.94,84,97,36.62
Muyezerskiy,RU,1578327018,31.65,63.93,29.79,92,100,10.02
Pevek,RU,1578326814,170.27,69.7,-8.97,79,0,4.88
Thohoyandou,ZA,1578327019,30.46,-22.97,93.13,27,0,11.01
Sioux Lookout,CA,1578327002,-91.92,50.1,6.8,84,20,6.93
Bonthe,SL,1578327019,-12.5,7.53,85.89,49,0,12.19
Alugan,PH,1578327020,125.48,12.22,79.11,84,34,13.44
Kruisfontein,ZA,1578327020,24.73,-34.0,65.82,84,100,8.77
Gamba,CN,1578327020,88.52,28.28,17.04,27,100,3.09
Barranca,PE,1578327020,-77.76,-10.75,69.75,90,1,14.9
Half Moon Bay,US,1578326891,-122.43,37.46,46.99,86,1,5.1
Lorengau,PG,1578327021,147.27,-2.02,84.36,76,11,11.1
Baltay,RU,1578327021,46.63,52.47,25.97,97,100,3.24
Brae,GB,1578326891,-1.35,60.4,48.2,87,100,27.51
Saint-Georges,CA,1578326906,-70.67,46.12,16.0,78,100,2.26
Calvinia,ZA,1578327021,19.78,-31.47,76.82,33,100,14.41
Aquiraz,BR,1578327021,-38.39,-3.9,86.0,66,40,11.41
Cockburn Town,TC,1578326850,-71.14,21.46,73.4,88,75,5.82
Husavik,CA,1578327022,-96.99,50.56,16.0,95,13,5.99
Itarema,BR,1578327022,-39.92,-2.92,90.5,50,51,12.66
La Macarena,CO,1578327022,-73.79,2.18,85.87,47,80,9.37
Palmer,AU,1578326821,139.16,-34.85,69.01,48,0,8.05
Tarazona,ES,1578327023,-1.72,41.91,53.01,93,90,3.36
Bajil,ES,1578327023,-2.07,38.23,54.23,27,0,3.62
Candolim,IN,1578327023,73.76,15.52,80.6,83,36,5.82
Mar del Plata,AR,1578327024,-67.52,-46.43,65.91,33,47,9.55
Sambava,MG,1578327024,50.17,-14.27,76.12,96,100,1.59
Castanos,MX,1578327024,-101.42,26.78,60.8,38,5,5.82
Kahului,US,1578327024,-156.47,20.89,73.4,69,1,9.17
Sisophon,KH,1578327024,102.97,13.59,76.41,52,0,0.83
Bambous Virieux,MU,1578327024,57.76,-20.34,82.4,83,40,2.24
Faanui,PF,1578327025,-151.75,-16.48,81.09,80,6,13.58
Chunskiy,RU,1578327025,99.63,56.08,24.42,95,100,4.27
Sassandra,CI,1578327025,-6.09,4.95,85.55,40,5,9.01
Nyuksenitsa,RU,1578327025,44.24,60.41,9.01,92,91,5.59
Makinsk,KZ,1578327025,70.42,52.63,11.77,96,61,3.15
Yurimaguas,PE,1578327026,-76.1,-5.9,48.2,100,40,8.05
Kenmare,IE,1578327026,-9.58,51.88,50.0,81,40,14.99
Charters Towers,AU,1578327026,146.27,-20.07,72.64,92,44,8.77
Methoni,GR,1578327026,21.7,36.82,50.0,36,75,2.24
Taltal,CL,1578327026,-70.49,-25.41,65.55,72,76,6.64
Katsuura,JP,1578327026,134.5,33.93,44.6,70,75,5.82
Olga,US,1578327027,-118.17,34.11,66.2,53,1,3.09
Itaituba,BR,1578327027,-55.99,-4.26,87.8,66,20,17.22
Wewak,PG,1578327027,143.63,-3.55,77.41,91,100,5.88
Vila Velha,BR,1578327027,-38.6,-3.71,86.0,66,40,11.41
Ayan,IR,1578327028,44.7,38.23,14.58,80,0,6.26
Verkhnevilyuysk,RU,1578327028,120.31,63.45,11.73,94,100,7.09
Lompoc,US,1578327028,-120.46,34.64,57.2,86,1,10.92
Victoria,BN,1578326808,115.24,5.28,82.4,78,75,11.41
Adrar,DZ,1578327029,-0.29,27.87,66.2,17,0,19.46
Angoche,MZ,1578327029,39.91,-16.23,82.45,84,100,6.02
Hinche,HT,1578327029,-72.01,19.14,84.2,42,20,6.93
Verkhnechusovskiye Gorodki,RU,1578327029,57.11,58.17,14.5,95,73,3.67
Severo-Kurilsk,RU,1578327029,156.12,50.68,25.79,90,100,32.35
Soligalich,RU,1578327031,42.29,59.08,14.27,96,60,4.54
Port Hardy,CA,1578327031,-127.42,50.7,39.2,86,90,17.22
Dickinson,US,1578326884,-102.79,46.88,30.99,62,1,16.11
Tecoanapa,MX,1578327031,-99.26,16.99,82.4,69,5,3.36
Belaya Gora,RU,1578326894,146.19,68.54,-22.18,95,0,2.28
San Pedro Buenavista,MX,1578327031,-97.11,20.01,65.35,71,54,1.23
Kant,KG,1578327032,74.85,42.89,28.4,86,40,6.71
Port-Gentil,GA,1578327033,8.78,-0.72,86.0,79,40,10.29
Walvis Bay,NA,1578327033,14.51,-22.95,64.99,87,44,1.01
Thinadhoo,MV,1578327033,72.93,0.53,83.59,76,92,14.25
Mariental,BR,1578327033,-49.65,-25.72,84.99,36,75,11.41
Celestun,MX,1578327034,-90.4,20.87,71.13,73,0,9.93
Muros,ES,1578327034,-9.06,42.77,57.0,87,75,4.7
Mahebourg,MU,1578327035,57.7,-20.41,82.4,83,40,2.24
Buala,SB,1578326871,159.59,-8.15,80.71,84,33,7.07
Port Hawkesbury,CA,1578327035,-61.36,45.62,27.0,89,93,10.0
Francistown,BW,1578327036,27.5,-21.17,89.6,33,75,3.36
Wilmington,US,1578326789,-75.55,39.75,46.99,74,90,5.82
Namatanai,PG,1578327036,152.44,-3.66,83.91,77,39,5.53
Rajanpur,PK,1578326874,70.33,29.1,51.49,89,100,10.33
Vila do Maio,CV,1578327037,-23.22,15.13,80.6,42,94,27.51
Talara,PE,1578327037,-81.27,-4.58,62.6,100,0,14.99
Saskylakh,RU,1578326979,114.09,71.97,-5.08,96,100,7.05
Clyde River,CA,1578327037,-68.59,70.47,-31.0,66,75,18.34
Funtua,NG,1578327038,7.31,11.52,84.16,19,0,9.89
Salalah,OM,1578327038,54.1,17.01,78.8,74,75,5.82
Tsaratanana,MG,1578327038,47.65,-16.8,76.21,84,100,2.68
Iquique,CL,1578327038,-70.14,-20.22,77.0,57,0,6.93
Salinopolis,BR,1578327038,-47.36,-0.61,81.37,81,56,15.64
Nemuro,JP,1578327039,145.57,43.32,31.24,77,3,37.63
Broken Hill,AU,1578327039,141.45,-31.97,68.0,60,0,10.29
Hamilton,CA,1578327014,-79.87,43.26,37.0,64,75,20.8
Polunochnoye,RU,1578327040,60.43,60.87,15.28,76,0,10.18
Kresttsy,RU,1578327041,32.52,58.25,28.58,91,100,9.15
Lagos,NG,1578327016,3.39,6.46,93.2,41,25,6.93
Tarakan,ID,1578326824,117.63,3.3,80.31,81,98,5.32
Dustlik,UZ,1578327041,68.03,40.53,38.44,88,100,5.95
Lakes Entrance,AU,1578327041,147.99,-37.88,59.0,95,100,6.87
Gat,SN,1578326837,-16.54,14.69,86.0,10,40,16.11
Tuatapere,NZ,1578327042,167.69,-46.13,48.99,93,100,7.0
Jinka,ET,1578327042,36.57,5.79,72.84,76,0,2.37
Goderich,CA,1578327042,-81.71,43.74,34.0,67,96,1.99
Zlobin,HR,1578327043,14.65,45.29,44.6,28,0,9.17
Fairbanks,US,1578327029,-147.72,64.84,-17.0,58,90,0.31
Hithadhoo,MV,1578327043,73.08,-0.6,83.59,73,100,10.4
Weymouth,US,1578327035,-70.94,42.22,36.0,55,40,4.7
Namibe,AO,1578327044,12.15,-15.19,73.58,85,100,11.23
Kontagora,NG,1578327044,5.47,10.4,98.11,14,50,0.36
Portland,US,1578326708,-70.25,43.66,26.01,58,90,8.05
Balsta,SE,1578327044,17.53,59.57,44.01,100,100,11.41
Wasilla,US,1578326879,-149.44,61.58,-2.0,75,90,12.75
Yulara,AU,1578327045,130.99,-25.24,80.6,47,90,10.29
Kadoma,JP,1578327045,135.6,34.73,46.4,65,53,5.82
Dehui,CN,1578327045,125.71,44.53,24.8,79,90,6.71
Porto Novo,BR,1578327046,-45.44,-23.68,87.8,45,40,4.7
Najran,SA,1578327046,44.22,17.54,68.0,52,75,4.7
Cadillac,US,1578327047,-85.4,44.25,34.0,68,40,16.11
Rizhao,CN,1578327047,119.46,35.43,43.7,93,100,9.37
Upernavik,GL,1578326988,-56.15,72.79,-15.23,99,100,12.82
Santiago,PH,1578327047,121.54,16.69,66.47,94,29,3.27
Kavieng,PG,1578327047,150.8,-2.57,84.83,75,18,12.48
Kumluca,TR,1578327047,30.29,36.37,47.64,84,61,6.62
Marawi,PH,1578327048,124.29,8.0,77.0,87,100,4.0
Umm Lajj,SA,1578327048,37.27,25.02,60.24,50,0,5.08
Turukhansk,RU,1578327048,87.96,65.8,11.95,97,100,5.06
Menongue,AO,1578327048,17.68,-14.66,74.61,76,82,6.13
Egvekinot,RU,1578327049,-179.17,66.32,-12.96,74,0,7.7
Porto Walter,BR,1578326876,-72.74,-8.27,89.06,41,8,7.27
Tura,RU,1578326826,100.22,64.27,10.6,88,100,7.25
Maracacume,BR,1578327049,-45.96,-2.04,83.61,79,3,4.74
Fortuna,US,1578327049,-124.16,40.6,39.0,93,40,8.05
Pisco,PE,1578326802,-76.2,-13.71,72.0,30,57,8.05
Pacific Grove,US,1578326884,-121.92,36.62,46.0,81,1,9.17
Sinnamary,GF,1578327051,-52.96,5.38,79.93,79,100,15.28
Chicama,PE,1578326873,-79.15,-7.84,69.8,88,40,12.75
Jiaozuo,CN,1578327051,113.25,35.21,35.47,96,100,3.94
Grindavik,IS,1578327051,-22.43,63.84,37.4,86,75,29.97
Katherine,AU,1578327051,132.26,-14.47,77.0,78,100,5.82
Ancud,CL,1578326950,-73.83,-41.87,55.4,76,75,8.05
Mackay,CA,1578327052,-115.58,53.65,15.8,92,75,8.05
Biu,NG,1578327052,12.19,10.61,87.06,18,35,5.44
Gorontalo,ID,1578327052,123.06,0.54,73.13,95,100,3.76
Xining,CN,1578327053,101.77,36.62,17.94,87,100,5.06
Guerrero Negro,MX,1578327053,-114.04,27.97,55.6,62,0,2.06
Alta Floresta,BR,1578327053,-56.08,-9.87,87.8,66,75,5.82
Ilulissat,GL,1578326818,-51.1,69.22,-0.4,70,75,6.93
Southbridge,US,1578327053,-72.03,42.08,34.0,92,90,4.7
Harper,US,1578327053,-99.24,30.3,59.0,57,1,6.53
Roald,NO,1578327054,6.12,62.58,52.0,57,40,14.99
Champerico,MX,1578327054,-93.6,16.38,68.0,68,90,2.24
Longhua,CN,1578327054,106.21,29.21,48.88,87,100,3.49
Alice Springs,AU,1578327003,133.88,-23.7,75.2,50,100,4.7
Risalpur,PK,1578327054,71.99,34.06,44.6,93,90,4.7
Pacifica,US,1578326882,-122.49,37.61,46.99,86,1,5.1
Tupik,RU,1578327055,119.94,54.43,-13.79,99,0,0.67
Ostersund,SE,1578326983,14.64,63.18,37.0,80,100,9.17
Joshimath,IN,1578327055,79.57,30.57,28.8,97,100,1.66
Sur,OM,1578327056,59.53,22.57,74.5,62,0,5.3
Agirish,RU,1578327056,63.02,61.92,12.87,88,51,10.0
Townsville,AU,1578327056,146.82,-19.26,82.4,74,75,14.99
West Plains,US,1578327057,-91.85,36.73,43.0,56,1,5.82
Iralaya,HN,1578327057,-83.23,15.0,73.4,100,90,5.82
Esqueda,MX,1578327057,-109.59,30.72,46.67,47,10,4.88
Cascais,PT,1578327057,-9.42,38.7,57.2,76,35,5.82
Moindou,NC,1578327058,165.68,-21.69,69.8,88,68,2.24
Eyl,SO,1578327058,49.82,7.98,79.68,82,48,17.81
Cooma,AU,1578327058,149.13,-36.24,57.2,100,90,6.93
Vao,EE,1578327058,26.19,59.1,35.67,98,100,6.46
Campbell River,CA,1578327058,-125.24,50.02,35.6,100,90,5.82
Broome,GB,1578327058,1.45,52.47,46.99,75,75,13.87
Turbat,PK,1578327059,63.05,26.0,69.04,69,55,9.86
Nuuk,GL,1578326868,-51.74,64.17,-0.4,84,75,16.11
Dauphin,CA,1578327059,-100.04,51.15,23.0,73,1,13.87
Grand Gaube,MU,1578327059,57.66,-20.01,82.4,83,40,2.24
North Lauderdale,US,1578326894,-80.23,26.22,70.0,49,20,8.05
Nigran,ES,1578327060,-8.81,42.14,57.0,76,75,3.36
Santa Isabel,MX,1578327060,-115.58,32.63,50.0,49,20,9.17
Awbari,LY,1578327060,12.77,26.59,56.25,46,0,11.05
Saint Marys,US,1578326944,-78.56,41.43,37.99,80,75,16.11
Xilopolis,GR,1578327060,23.18,40.93,45.0,45,3,18.34
Leshukonskoye,RU,1578327060,45.76,64.9,9.99,93,100,6.71
Jalu,LY,1578327061,21.55,29.03,57.45,42,97,22.01
Nara,JP,1578327061,135.8,34.68,46.4,65,56,5.82
Aykhal,RU,1578327061,111.51,65.95,10.4,92,100,2.24
Acapulco,MX,1578326799,-99.88,16.86,78.8,78,5,4.7
Batticaloa,LK,1578327061,81.69,7.71,74.57,93,46,1.59
Mbale,UG,1578327062,34.17,1.07,79.61,57,54,6.4
Flinders,AU,1578327062,150.85,-34.58,69.01,100,100,4.7
Dingle,PH,1578327062,122.67,11.0,73.74,94,96,11.36
Yatou,CM,1578327063,9.81,3.63,89.6,66,40,4.7
Kalabo,ZM,1578327063,22.67,-15.0,75.69,71,100,7.94
Mitsamiouli,KM,1578327063,43.28,-11.38,86.0,74,20,4.7
San Cristobal,HN,1578327063,-86.92,14.68,62.58,82,98,6.04
Berlevag,NO,1578327063,29.09,70.86,21.2,92,20,19.46
Nurota,UZ,1578327064,65.69,40.56,30.2,92,64,4.7
Nueva Loja,EC,1578327064,-76.88,0.08,87.8,70,100,5.82
Kokoda,PG,1578327064,147.74,-8.88,63.07,98,98,0.89
Peniche,PT,1578327064,-9.38,39.36,57.99,76,58,5.82
Esperance,AU,1578326825,121.89,-33.86,66.2,77,0,6.93
Cap Malheureux,MU,1578327064,57.61,-19.98,82.4,83,40,2.24
Jumla,NP,1578327065,82.18,29.28,30.33,97,100,1.52
Brawley,US,1578327065,-115.53,32.98,55.99,49,20,9.17
Yumen,CN,1578327065,97.04,40.29,20.57,52,100,13.91
Touros,BR,1578327065,-35.46,-5.2,86.0,58,40,11.41
Teahupoo,PF,1578327065,-149.27,-17.83,77.0,88,19,4.7
Sosva,RU,1578327066,61.86,59.17,18.18,89,0,7.18
Buraydah,SA,1578327066,43.97,26.33,59.0,38,40,4.7
Scarborough,GB,1578327066,-0.41,54.28,48.99,87,93,18.34
Tres Arroyos,AR,1578327066,-60.28,-38.38,70.27,39,1,21.21
Ribeira Grande,PT,1578326932,-28.7,38.52,64.4,93,40,13.87
Necochea,AR,1578326832,-58.74,-38.55,68.38,58,0,24.65
Golden,US,1578327067,-105.22,39.76,39.2,24,40,9.91
Jajce,BA,1578327067,17.27,44.34,30.2,74,0,2.24
Pokosnoye,RU,1578327067,101.05,55.53,20.75,88,100,6.6
Laguna,BZ,1578327068,-88.94,16.17,71.6,78,90,4.7
Constitucion,MX,1578327068,-104.67,23.99,48.0,56,40,0.81
North Platte,US,1578326805,-100.77,41.12,33.8,59,1,12.75
Selenginsk,RU,1578327068,106.87,52.01,-14.8,75,70,4.5
Burnie,AU,1578327069,145.91,-41.05,54.0,83,99,5.01
Puerto del Rosario,ES,1578327068,-13.86,28.5,69.8,59,20,11.41
Eisiskes,LT,1578327069,25.0,54.17,32.0,100,90,8.05
Ambilobe,MG,1578327069,49.05,-13.19,81.03,82,100,3.36
Wamba,CD,1578327069,27.99,2.14,85.37,43,100,0.94
Sokolo,ML,1578327070,-6.12,14.74,83.89,9,0,8.55
Nabire,ID,1578327070,135.5,-3.36,74.73,98,100,1.9
Waingapu,ID,1578327070,120.26,-9.65,83.82,76,100,19.6
Bandar-e Lengeh,IR,1578327070,54.88,26.56,64.4,52,0,6.78
Yoichi,JP,1578327070,140.77,43.19,30.99,97,98,4.63
Neya,RU,1578327071,43.89,58.29,14.27,96,16,3.36
Kintinku,TZ,1578327071,35.22,-5.89,78.8,57,40,11.41
Nanchong,CN,1578327071,106.08,30.8,46.78,83,100,3.87
Longyearbyen,NO,1578326959,15.63,78.22,10.4,51,20,16.11
Severo-Yeniseyskiy,RU,1578327071,93.04,60.37,12.54,91,87,8.99
Borogontsy,RU,1578327072,131.17,62.67,-6.18,98,99,3.96
Zelenogorskiy,RU,1578327072,87.0,55.03,19.4,85,90,2.24
Parksville,US,1578327072,-82.22,33.79,55.99,47,1,4.7
Ahipara,NZ,1578327072,173.16,-35.17,55.99,92,100,23.22
Progreso,UY,1578327072,-56.22,-34.68,79.0,53,75,16.11
Vostok,RU,1578327073,135.83,46.45,3.02,84,100,2.57
Nioki,CD,1578327073,17.69,-2.72,91.11,46,96,0.72
Margate,AU,1578327073,147.26,-43.03,59.0,82,100,5.82
Komsomolskiy,RU,1578327073,63.78,67.55,9.64,93,100,19.46
Panama City,US,1578327053,-85.65,30.16,61.0,58,1,5.82
Pitsunda,GE,1578327073,40.34,43.16,43.0,86,100,4.47
Shizunai,JP,1578327074,142.37,42.33,20.17,78,8,7.29
Almeirim,BR,1578327074,-52.58,-1.53,88.32,48,62,6.29
Bata,GQ,1578327074,9.77,1.87,83.5,70,92,5.97
